語言偵測: zh (機率: 1.00)
[3776.85s -> 3778.53s] 他叫我出來做的時候
[3778.53s -> 3780.79s] 他每天八點都會跟我通電話
[3781.47s -> 3782.95s] 我學開車的時候
[3782.95s -> 3784.83s] 他都沒跟我通電話
[3784.83s -> 3786.73s] 後來他找到我就說
[3786.73s -> 3787.77s] 你有寫開車
[3787.77s -> 3788.65s] 我說沒有
[3789.39s -> 3791.97s] 他說沒有我怎麼找不到你
[3791.97s -> 3793.13s] 我心裡想
[3793.13s -> 3794.95s] 我萬一學不會
[3794.95s -> 3796.69s] 你又要笑我
[3796.69s -> 3798.31s] 我又怕
[3798.31s -> 3800.45s] 我後來給他就在我附近
[3800.45s -> 3802.29s] 那個教練長找到我
[3802.29s -> 3804.15s] 我在學開找到我
[3804.15s -> 3806.29s] 真的路口的時候
[3806.29s -> 3808.65s] 真的車子很難考慮
[3809.59s -> 3811.43s] 我這樣子考慮
[3811.43s -> 3813.69s] 我第一次我路口我真的沒過
[3813.69s -> 3815.17s] 我第二次才過
[3815.17s -> 3817.31s] 比世氣搞比世的時候
[3817.31s -> 3818.39s] 我很認真讀書
[3818.39s -> 3820.35s] 這樣考大學一樣
[3820.35s -> 3823.61s] 當時我的妹妹是在開茶藝館
[3825.01s -> 3827.19s] 他叫我替幫忙
[3827.19s -> 3829.43s] 當時我很想要推薦我妹妹進來
[3829.95s -> 3832.57s] 我在開我替幫他
[3832.57s -> 3833.71s] 我就把他做什麼
[3833.71s -> 3834.39s] 排滿
[3835.75s -> 3837.77s] 我妹妹跟我女兒講
[3837.77s -> 3839.71s] 你媽媽好像要考大學
[3840.39s -> 3842.45s] 他說哪裡有人考假照
[3842.45s -> 3843.77s] 要這樣子看
[3843.77s -> 3846.17s] 因為我講說萬一考不上
[3846.17s -> 3848.13s] 我又被我老闆笑
[3848.13s -> 3849.77s] 我又不敢
[3849.77s -> 3850.81s] 真的這樣子跟
[3850.81s -> 3853.29s] 真的黃天不負苦心人
[3853.29s -> 3854.11s] 有心
[3854.11s -> 3855.39s] 真的是會到
[3855.39s -> 3857.39s] 後來我比世我考當
[3857.39s -> 3858.71s] 還考到
[3858.71s -> 3860.09s] 不知道九十幾分
[3860.09s -> 3861.93s] 後來他打電話來問我
[3861.93s -> 3862.71s] 我又騙他
[3863.39s -> 3864.01s] 我說沒有
[3864.01s -> 3865.73s] 我沒考到怎麼辦
[3865.73s -> 3868.55s] 我老闆真的對我真的很胸
[3868.55s -> 3869.51s] 他說
[3870.29s -> 3871.53s] 比世沒考到
[3871.53s -> 3872.35s] 我說對
[3872.35s -> 3873.27s] 記壯壁
[3874.51s -> 3876.77s] 他叫我壯壁你知道嗎
[3876.77s -> 3878.35s] 我說你真的很過分
[3878.35s -> 3880.71s] 萬一我真的沒考到
[3880.71s -> 3881.81s] 我真的要壯壁
[3882.55s -> 3883.71s] 他說連比世都搞
[3883.71s -> 3885.07s] 他說六世沒到
[3885.07s -> 3885.55s] 還好
[3886.15s -> 3887.07s] 比世沒到
[3887.07s -> 3888.29s] 就是不應該
[3888.29s -> 3890.05s] 這樣子過後開
[3890.05s -> 3892.07s] 因為他上傳時
[3892.07s -> 3894.97s] 他是好像九月
[3894.97s -> 3896.59s] 他八月
[3896.59s -> 3898.71s] 算是畢業他九月買車
[3898.71s -> 3899.81s] 我考到教照
[3899.81s -> 3901.07s] 我十月就買
[3901.07s -> 3902.57s] 因為我跟我老闆
[3902.57s -> 3903.65s] 跟我的上見
[3903.65s -> 3905.09s] 跟很近
[3905.09s -> 3906.29s] 他買車
[3906.29s -> 3908.05s] 他公司臨的
[3908.05s -> 3909.59s] 我是自己買的
[3909.59s -> 3910.41s] 就是這樣子
[3910.41s -> 3911.59s] 買到我也不敢開
[3912.29s -> 3913.71s] 我就擺在那旁邊
[3914.27s -> 3916.57s] 他會每天會丁寧我
[3916.57s -> 3917.97s] 有沒有出氣工作
[3917.97s -> 3919.53s] 我說我又不會騎車
[3919.53s -> 3920.75s] 我要怎麼工作
[3920.75s -> 3922.91s] 他說你不是有買車會開車
[3922.91s -> 3924.63s] 我說買到我不敢開
[3925.39s -> 3926.57s] 他說你擺在那
[3926.57s -> 3928.57s] 我說買在那一口
[3928.57s -> 3930.31s] 他說在家裡那一家
[3930.31s -> 3931.15s] 椅子出來
[3931.15s -> 3932.41s] 我說要幹嘛
[3932.41s -> 3934.33s] 他說坐著
[3934.33s -> 3935.65s] 看老車子
[3935.65s -> 3937.57s] 不要被人家偷開走
[3938.11s -> 3938.81s] 我說老闆
[3938.81s -> 3939.47s] 真的
[3939.47s -> 3940.63s] 你都不知道
[3940.63s -> 3942.59s] 他真的他講說
[3942.59s -> 3944.33s] 很鐵不成甘
[3944.33s -> 3946.67s] 你要真的慢慢跟你摸
[3946.67s -> 3948.89s] 摸到給你自己可以獨立
[3948.89s -> 3949.93s] 我這個人
[3949.93s -> 3950.91s] 給他這樣講
[3950.91s -> 3951.57s] 我又很生氣
[3952.13s -> 3953.73s] 因為很好生
[3953.73s -> 3954.57s] 我當時我就
[3955.40s -> 3956.76s] 到差不多中午
[3956.76s -> 3958.32s] 我就跑出氣看
[3958.32s -> 3959.80s] 看我隔壁鄰居
[3959.80s -> 3961.02s] 看到有人下來
[3961.02s -> 3961.92s] 我就說
[3961.92s -> 3963.60s] 慢慢給我到車好不好
[3963.60s -> 3964.48s] 他說
[3964.48s -> 3966.90s] 看車還要先叫到車
[3966.90s -> 3968.06s] 到時候你那個
[3968.06s -> 3969.66s] 還叫是煙機換的
[3969.66s -> 3970.76s] 我說趕他什麼換的
[3970.76s -> 3972.32s] 你給我到出氣就對了
[3972.32s -> 3974.78s] 我就這樣子持續
[3974.78s -> 3976.66s] 這樣子在一直學一直學
[3976.66s -> 3978.66s] 學會有一次
[3978.66s -> 3980.76s] 我要來台北會場
[3980.76s -> 3982.66s] 我就車子開到
[3982.66s -> 3985.04s] 我老公的工廠那邊
[3985.04s -> 3988.10s] 下班五點下班叫我老公
[3988.10s -> 3989.70s] 開到台北來
[3989.70s -> 3991.12s] 要帶我那個表面
[3991.12s -> 3992.78s] 後來回家的時候
[3992.78s -> 3993.80s] 11點
[3993.80s -> 3995.72s] 換我自己開
[3995.72s -> 3999.04s] 我就那一趟開高速公路過後
[3999.04s -> 3999.66s] 我就趕開
[4000.52s -> 4003.48s] 第二天我就在他老婆
[4003.48s -> 4005.04s] 他老婆根本都不知道
[4005.04s -> 4006.26s] 我會不會開
[4006.26s -> 4007.88s] 傻傻的上午的車
[4009.02s -> 4011.48s] 我開到一身看
[4011.48s -> 4013.70s] 他會不會怕我是不知道
[4014.76s -> 4017.48s] 就那一趟走回來過後
[4018.04s -> 4019.12s] 我就開始獨立
[4019.12s -> 4020.76s] 會開車
[4020.76s -> 4024.48s] 為什麼我在1992年的時候
[4025.18s -> 4026.72s] 家族雙渴
[4026.72s -> 4030.24s] 一直到2010年才上算時
[4030.24s -> 4031.48s] 我都老闆完全沒有
[4032.40s -> 4033.56s] 沒有說
[4033.56s -> 4036.44s] 看我這個人會上算時
[4036.44s -> 4038.54s] 我每場跟他講
[4038.54s -> 4039.92s] 我是上算時
[4039.92s -> 4042.26s] 你跟陳老師兩個
[4042.26s -> 4044.08s] 會跌破眼鏡
[4044.08s -> 4045.68s] 連眼鏡都找不到
[4049.32s -> 4051.24s] 我就是這張歌
[4051.24s -> 4052.36s] 一直在做
[4052.36s -> 4053.72s] 一直在做的時候
[4053.72s -> 4054.66s] 當時
[4054.66s -> 4056.80s] 那帥哥主持人就講
[4056.80s -> 4059.22s] 我在1997年
[4059.22s -> 4060.98s] 也是有參加海旅
[4060.98s -> 4062.66s] 因為那時推薦
[4062.66s -> 4064.16s] 不會做主持
[4064.16s -> 4066.24s] 也不會帶線
[4066.24s -> 4068.68s] 回來全部都不要做
[4068.68s -> 4070.72s] 我跟我老闆講
[4070.72s -> 4071.68s] 那哪裡好做
[4072.20s -> 4073.48s] 根本都不能做
[4073.48s -> 4074.98s] 死了死
[4074.98s -> 4075.86s] 逃到逃
[4075.86s -> 4077.26s] 沒有一個
[4077.26s -> 4078.86s] 就剩下消費者
[4078.86s -> 4080.38s] 我說要做出國哪裡
[4080.38s -> 4081.72s] 剛好89年
[4081.72s -> 4082.68s] 我女兒結婚
[4083.22s -> 4084.18s] 在90年
[4084.18s -> 4084.50s] 是嗎
[4084.50s -> 4086.42s] 剩下一個孫子下來
[4086.42s -> 4087.86s] 我帶孫子好了
[4087.86s -> 4089.04s] 我才不要管他
[4089.72s -> 4091.68s] 我就停下來帶孫子
[4092.40s -> 4093.34s] 帶孫子
[4093.34s -> 4093.68s] 帶孫年
[4094.70s -> 4096.56s] 小孩子長大不是我們的
[4096.56s -> 4097.84s] 我女性要帶回去
[4098.86s -> 4100.10s] 他就說
[4100.10s -> 4100.98s] 我女兒就說
[4100.98s -> 4101.86s] 媽媽
[4101.86s -> 4103.68s] 那女性說小孩子要帶回去
[4104.36s -> 4104.80s] 那個
[4105.26s -> 4106.32s] 毒藥志言
[4106.32s -> 4107.50s] 我自己就這樣
[4107.50s -> 4109.14s] 現在正好玩的
[4109.14s -> 4110.76s] 你要跟我帶走
[4111.52s -> 4113.28s] 以後我才不要跟你帶小孩
[4113.28s -> 4114.58s] 我就這樣子
[4115.10s -> 4116.40s] 我的老闆
[4116.40s -> 4117.68s] 他就講說
[4118.46s -> 4120.20s] 你現在小孩子帶回去
[4120.20s -> 4121.30s] 反正你也空空
[4121.78s -> 4123.32s] 要不要再出來做
[4123.32s -> 4124.06s] 我說不要
[4124.06s -> 4126.24s] 我說雙後不好玩
[4126.24s -> 4127.80s] 我說這樣子我沒辦法
[4127.80s -> 4129.78s] 我真的是很平凡的
[4129.78s -> 4130.86s] 一個家庭祖父
[4130.86s -> 4131.92s] 我沒有辦法
[4131.92s -> 4134.46s] 他說現在還女兒目標
[4134.46s -> 4135.44s] 你這樣子做
[4135.44s -> 4136.92s] 他說他現在
[4136.92s -> 4138.76s] 他會做了
[4138.76s -> 4140.84s] 你知道我幫你講
[4140.84s -> 4142.32s] 就是他這樣的一句話
[4143.06s -> 4145.14s] 我2013年就開始
[4145.14s -> 4146.86s] 認真進來做
[4146.86s -> 4150.20s] 做到就一直跟雙後出國
[4150.20s -> 4151.22s] 到現在
[4151.22s -> 4152.54s] 我講的那麼久
[4152.54s -> 4154.34s] 你沒還不知道我老闆是誰
[4155.22s -> 4156.88s] 我來現在
[4157.74s -> 4158.30s] 來
[4158.30s -> 4158.48s] 有
[4158.48s -> 4159.54s] 按哪一個
[4162.28s -> 4164.54s] 這個就是我老闆
[4165.54s -> 4166.10s] 這個
[4167.36s -> 4169.88s] 我就有這兩對貴人
[4169.88s -> 4171.42s] 真的我非常感謝
[4171.42s -> 4173.16s] 陳老師陳師母
[4173.16s -> 4174.50s] 沒常到一會場
[4174.50s -> 4175.56s] 就是這樣子
[4175.56s -> 4176.68s] 我說陳老師
[4176.68s -> 4178.24s] 你隨多這樣子
[4179.86s -> 4181.36s] 我說你誰都這樣子
[4181.36s -> 4183.72s] 我說這樣子也好啦
[4183.72s -> 4184.70s] 給我鼓勵
[4184.70s -> 4186.62s] 真的給我驚神上鼓勵
[4186.62s -> 4187.50s] 就是陳老師
[4187.50s -> 4188.68s] 沒常看到我們
[4188.68s -> 4189.80s] 就是這樣子
[4189.80s -> 4190.64s] 我想說
[4190.64s -> 4192.34s] 老師對我
[4192.34s -> 4193.90s] 有一點幫助
[4193.90s -> 4195.34s] 我真的我就拿出
[4195.34s -> 4196.98s] 我的企圖心
[4196.98s -> 4198.50s] 跟耗攝影機
[4198.50s -> 4199.96s] 好好在雙偶片
[4199.96s -> 4200.88s] 老師深入
[4200.88s -> 4202.36s] 謝謝你
[4205.96s -> 4207.90s] 雖然我這個上電
[4207.90s -> 4209.12s] 鄧先生跟鄧太太
[4209.12s -> 4210.16s] 今天沒來
[4210.16s -> 4210.36s] 沒有
[4211.16s -> 4212.16s] 沒來才可以講
[4212.16s -> 4213.54s] 他這樣子
[4213.54s -> 4214.52s] 還有來
[4214.52s -> 4215.16s] 還有
[4215.82s -> 4216.48s] 還有回去
[4216.48s -> 4218.16s] 因為阿姨媽
[4219.14s -> 4220.38s] 他真的
[4220.38s -> 4222.54s] 很認真的在帶我
[4222.54s -> 4224.54s] 他沒想說我
[4224.54s -> 4226.52s] 很貼不成這樣
[4226.52s -> 4227.96s] 我要摸你
[4227.96s -> 4229.26s] 按你又這樣子
[4229.26s -> 4231.46s] 我說你看不起我
[4231.46s -> 4232.88s] 我要做給你看
[4232.88s -> 4234.52s] 不是你要摸我
[4235.16s -> 4237.98s] 我要把雙偶做好給他看
[4237.98s -> 4239.28s] 我要給他知道
[4240.06s -> 4241.78s] 我是一個家庭祖父
[4241.78s -> 4242.74s] 那麼平凡
[4242.74s -> 4243.80s] 最雙偶
[4243.80s -> 4244.88s] 我也是可以
[4244.88s -> 4246.18s] 今天他雖然沒來
[4246.18s -> 4247.52s] 我真的很感謝他
[4247.52s -> 4248.42s] 鄧天鄧太太
[4248.42s -> 4249.14s] 謝謝
[4251.98s -> 4253.00s] 我在雙偶
[4253.00s -> 4256.54s] 就是有這兩對貴人在帶著我
[4256.54s -> 4259.48s] 人家說跟著陳公主走
[4259.48s -> 4261.32s] 一定會成功
[4261.32s -> 4263.40s] 鄧天先生在教我的時候
[4263.40s -> 4264.86s] 陳老師鼓勵我
[4264.86s -> 4266.66s] 上專任上專時
[4266.66s -> 4268.28s] 當時我就想
[4268.28s -> 4269.26s] 不要做
[4269.26s -> 4270.96s] 那個消費者
[4270.96s -> 4272.48s] 一定要那個
[4272.48s -> 4274.36s] 要先改變自己
[4275.04s -> 4276.96s] 改變別人不容易
[4276.96s -> 4278.58s] 弱得到別人的
[4278.58s -> 4279.22s] 好感
[4279.22s -> 4280.92s] 必須先改變自己
[4280.92s -> 4282.84s] 因為這樣才能
[4282.84s -> 4284.44s] 心想事成
[4284.44s -> 4286.26s] 因為我們沒有改變
[4287.04s -> 4289.52s] 人家絕對是不會去改變
[4289.52s -> 4291.74s] 你一定要會去改變自己
[4291.74s -> 4293.12s] 給別人看
[4293.12s -> 4295.56s] 人家才會跟著你來做
[4299.30s -> 4302.54s] 世界上有太多我們無能為力的事情
[4302.54s -> 4303.76s] 微不去的過去
[4303.76s -> 4305.66s] 無法預料的將來
[4305.66s -> 4306.88s] 只有在雙偶
[4306.88s -> 4309.60s] 我們看到的未來
[4309.60s -> 4310.10s] 真的
[4311.00s -> 4312.62s] 我在跟我老闆
[4312.62s -> 4314.40s] 工作那麽多年
[4314.40s -> 4315.56s] 他說沒有工作
[4315.56s -> 4316.76s] 我們就沒工作
[4316.76s -> 4318.92s] 他沒有拿工作到五家
[4318.92s -> 4321.22s] 我真的我不知道要做什麽
[4321.22s -> 4321.66s] 真的
[4321.66s -> 4323.76s] 傳統就是那麽無奈
[4323.76s -> 4325.56s] 不是說傳統不好
[4325.56s -> 4327.26s] 傳統還是很好
[4327.26s -> 4330.32s] 趕未自己要去定位
[4330.32s -> 4332.84s] 雙偶反而是更好
[4332.84s -> 4335.18s] 你在雙偶你可以看到
[4335.18s -> 4337.56s] 後面的未來
[4337.56s -> 4340.56s] 我是一個很平凡的家庭祝福
[4340.56s -> 4342.26s] 我相信我做得到
[4342.92s -> 4344.26s] 你們在做的
[4344.98s -> 4345.92s] 都是這樣
[4345.92s -> 4347.52s] 骨鮮鮮那張
[4347.52s -> 4349.30s] 那十九二十號
[4349.30s -> 4351.12s] 星期六我們要上課
[4351.12s -> 4351.80s] 他說
[4352.86s -> 4354.68s] 你們的鑽石在哪裡
[4354.68s -> 4356.26s] 雙偶在找你們的
[4356.26s -> 4356.84s] 趕快
[4356.84s -> 4358.76s] 你們被他找到
[4358.76s -> 4360.88s] 骨鮮鮮鮮鮮在找鑽石
[4360.88s -> 4362.82s] 你們要很認真的
[4362.82s -> 4364.12s] 結果還給他找
[4364.12s -> 4365.60s] 因為就是這樣子
[4365.60s -> 4367.42s] 我在雙偶看到未來
[4367.42s -> 4369.12s] 我要從哪裡先做
[4369.12s -> 4371.70s] 曾我家人
[4371.70s -> 4375.34s] 這個就是我們無解妹
[4375.34s -> 4376.54s] 我媽媽
[4376.54s -> 4378.70s] 他有生一個兒子
[4378.70s -> 4380.64s] 這個是母親節
[4380.64s -> 4383.52s] 帶著媽媽去吃飯的時候
[4383.52s -> 4385.26s] 因為我媽媽
[4386.32s -> 4388.44s] 我在從事雙偶的時候
[4388.44s -> 4390.42s] 他就開始吃零隻
[4390.42s -> 4393.44s] 我媽媽已經805歲了
[4394.70s -> 4396.82s] 吃零隻吃到很健康
[4396.82s -> 4399.22s] 他跟我這個
[4399.86s -> 4401.54s] 三四姐妹講
[4401.54s -> 4403.44s] 他說雙偶零隻真的很痛
[4404.22s -> 4406.96s] 他說今天不是我拿雙偶零隻
[4406.96s -> 4408.54s] 回去給他吃
[4408.54s -> 4409.74s] 他很愛奇車
[4410.30s -> 4411.90s] 我沒常跟他講
[4411.90s -> 4414.74s] 媽媽你不要出氣害人
[4415.92s -> 4417.30s] 因為你很近
[4417.30s -> 4418.72s] 我大了
[4418.72s -> 4420.68s] 手腳會不離火
[4420.68s -> 4422.48s] 你萬一怎樣子
[4422.48s -> 4424.00s] 不是害人嗎
[4424.00s -> 4425.84s] 你幹嘛要出氣害人
[4425.84s -> 4427.36s] 他說我期滿罵
[4427.36s -> 4429.86s] 我說這不是期滿奇怪的問題
[4429.86s -> 4432.40s] 有時我在開車的時候
[4432.40s -> 4433.52s] 我看到這樣子
[4433.52s -> 4435.24s] 我心裡也會講
[4435.24s -> 4436.68s] 那我老爛你出來幹嘛
[4438.46s -> 4440.80s] 我開車我也是很怕
[4441.80s -> 4443.82s] 弄到他還是A到他
[4443.82s -> 4445.30s] 我們也會怕
[4445.30s -> 4446.52s] 因為我媽媽
[4446.52s -> 4449.44s] 他運動很喜歡期滿車
[4449.44s -> 4451.50s] 他摔三四
[4452.14s -> 4455.06s] 摔了水溝裡面去摔下去
[4455.80s -> 4456.48s] 我跟他講
[4456.48s -> 4457.64s] 你沒得啊
[4457.64s -> 4458.68s] 他說不會
[4459.36s -> 4461.00s] 你雙偶的零隻
[4461.00s -> 4462.96s] 跟我一概很好
[4462.96s -> 4465.98s] 他說吃到骨頭硬硬的
[4465.98s -> 4467.32s] 85歲跌倒
[4467.32s -> 4468.76s] 骨頭還不會怎麼樣
[4468.76s -> 4470.30s] 給雙偶一個掌聲
[4474.16s -> 4475.72s] 我就是這樣子
[4475.72s -> 4478.28s] 慢慢地驚嚴我媽媽
[4478.28s -> 4479.34s] 我這個妹妹
[4479.34s -> 4482.92s] 他真的很替他跟我媽媽講
[4482.92s -> 4484.30s] 雙偶是一個保養品
[4485.12s -> 4486.44s] 你為什麼那麼相信
[4486.44s -> 4488.00s] 我媽媽吃
[4488.00s -> 4489.24s] 我做20幾年
[4489.24s -> 4492.08s] 太吃20幾年了
[4492.08s -> 4492.44s] 他說
[4493.16s -> 4496.54s] 你那個化學系要吃那麼多幹嗎
[4496.54s -> 4497.80s] 連吃真的很好
[4497.80s -> 4500.12s] 他媽媽就講故事給他
[4500.80s -> 4502.76s] 我這個妹妹就說
[4502.76s -> 4504.08s] 你幫姐姐做業績
[4506.08s -> 4507.82s] 他說不是做業績
[4507.82s -> 4509.38s] 真的是很好
[4509.38s -> 4511.14s] 我媽媽每場講一個健正
[4511.14s -> 4513.82s] 他現在嘴巴化的健正是什麼
[4513.82s -> 4516.82s] 他有一天活龍痛
[4516.82s -> 4518.74s] 我弟弟拿兩包
[4518.74s -> 4520.64s] 吃活龍痛的藥給他
[4520.64s -> 4521.84s] 沒有用
[4521.84s -> 4525.06s] 他後來他想說要去看醫生
[4525.06s -> 4526.30s] 後來我媽媽想說
[4527.06s -> 4529.52s] 我在他那邊有放二帶的
[4529.52s -> 4532.58s] 我都放二帶跟特急花粉
[4532.58s -> 4534.92s] 為蓋反正
[4534.92s -> 4535.82s] 雙偶有的東西
[4535.82s -> 4537.52s] 我媽家全部都有啦
[4538.52s -> 4539.52s] 放在他就說
[4540.42s -> 4542.62s] 我女兒有放二帶的健那
[4542.62s -> 4543.96s] 他沒常常都跟我講
[4543.96s -> 4545.46s] 二帶很老二帶很老
[4545.46s -> 4547.54s] 他就推一顆二帶
[4547.54s -> 4549.48s] 他就再去睡一下
[4549.48s -> 4550.54s] 結果起來
[4550.54s -> 4551.72s] 後來不會痛
[4551.72s -> 4553.62s] 他幾高戲
[4554.24s -> 4555.98s] 他現在四處
[4555.98s -> 4557.74s] 分享這個健正
[4557.74s -> 4562.24s] 碰到誰都講這個健正
[4562.24s -> 4564.88s] 他就跟我妹妹這些講
[4564.88s -> 4568.04s] 他說雙偶沒有去相信他
[4568.04s -> 4570.92s] 你姐姐20幾年的臨時給我吃
[4570.92s -> 4575.18s] 我今天才有這個樣子
[4575.18s -> 4576.34s] 媽媽很好的
[4576.34s -> 4578.44s] 這樣子他會幫我做業績
[4578.44s -> 4580.74s] 我最把我家裡在整個
[4581.36s -> 4583.96s] 家族做成一條線
[4583.96s -> 4586.62s] 這個是我家族的一條線
[4586.62s -> 4589.30s] 後來我就講說一條線不夠
[4589.30s -> 4589.90s] 對不對
[4589.90s -> 4591.62s] 還要再開發
[4594.94s -> 4598.68s] 這個就是在市場賣衣服的
[4598.68s -> 4600.64s] 他也是信求
[4600.64s -> 4603.62s] 我在市場有一天
[4605.40s -> 4608.16s] 我今天在講是我做的經過
[4608.16s -> 4610.60s] 我進來雙偶怎麼做
[4610.60s -> 4612.62s] 怎麼在雙偶打平成功的
[4613.24s -> 4615.50s] 這個我就在我女兒
[4615.50s -> 4618.74s] 有一天講說要吃活跳鞋
[4618.74s -> 4622.28s] 他就罵我們來替市場吃活跳鞋
[4622.28s -> 4623.36s] 我說活跳鞋
[4623.36s -> 4625.94s] 他明說養那個會有那個藥
[4625.94s -> 4626.54s] 他說沒關係
[4626.54s -> 4627.82s] 我們家有臨吃
[4627.82s -> 4628.78s] 沒關係
[4629.44s -> 4629.96s] 他有
[4629.96s -> 4630.88s] 他臨吃
[4630.88s -> 4633.92s] 反正現在社會再給多我們吃
[4633.92s -> 4634.82s] 趕快吃
[4634.82s -> 4636.50s] 我們雙偶臨吃起解讀
[4637.02s -> 4638.84s] 就是這樣子在雙偶碰到
[4638.84s -> 4640.62s] 他碰到我的時候就叫我
[4640.62s -> 4641.40s] 切解切解
[4641.40s -> 4642.04s] 我說
[4642.04s -> 4643.90s] 你怎麼在這邊買衣服
[4643.90s -> 4644.30s] 他說
[4644.30s -> 4644.72s] 對啊
[4644.72s -> 4646.76s] 就在這邊買衣服的時候
[4646.76s -> 4648.58s] 他問我還有沒有在雙偶
[4648.58s -> 4650.28s] 真的在雙偶待久
[4650.28s -> 4652.80s] 你就能夠找到人
[4652.80s -> 4653.72s] 我就說有
[4654.30s -> 4659.18s] 我當時我要叫他叫他老公來重視
[4659.18s -> 4663.30s] 我沒有想到他老婆是單眼震
[4663.98s -> 4665.96s] 他就一直叫他做
[4665.96s -> 4667.48s] 他說你找我老婆
[4667.48s -> 4668.84s] 我說你老婆很失貌
[4668.84s -> 4670.82s] 市場賣衣服
[4670.82s -> 4671.72s] 帶陌近
[4671.72s -> 4672.90s] 好失貌
[4672.90s -> 4675.00s] 當時我真的我不知道他眼睛
[4675.00s -> 4676.14s] 怕光
[4676.14s -> 4677.30s] 乾眼震
[4677.30s -> 4680.90s] 他在2007年的11月生病
[4681.82s -> 4683.48s] 他五個月而已
[4683.48s -> 4683.90s] 他講說
[4684.74s -> 4687.02s] 你們不要小看乾眼震
[4687.02s -> 4688.92s] 真的臭體來要人民
[4688.92s -> 4690.38s] 他乾眼震
[4690.38s -> 4691.24s] 沒淚水
[4691.24s -> 4692.06s] 沒什麼東西
[4692.06s -> 4695.12s] 他當時他不把乾眼震
[4695.12s -> 4695.90s] 當時一個病
[4696.76s -> 4698.98s] 他講說過幾天可能會
[4698.98s -> 4700.88s] 一直持續思路業
[4700.88s -> 4702.90s] 中立的眼科
[4702.90s -> 4704.58s] 還有桃園的眼科
[4704.58s -> 4706.52s] 他哪裡多期看過
[4706.52s -> 4708.24s] 就是一部行
[4708.24s -> 4712.66s] 一到他自己好像有一些優異症
[4712.66s -> 4714.10s] 他就棄龍
[4714.88s -> 4716.84s] 一直想要從棄龍跳下去
[4716.84s -> 4719.78s] 他說人生那眼睛真不開
[4719.78s -> 4721.88s] 一真開就很刺痛
[4721.88s -> 4722.68s] 很破
[4722.68s -> 4725.26s] 他就真不開
[4725.26s -> 4727.86s] 一直想說人生活著有什麼意思
[4727.86s -> 4730.24s] 就一直想要解決自己
[4730.24s -> 4732.62s] 後來他老公跟我講的時候
[4732.62s -> 4733.36s] 我說乾眼震
[4733.36s -> 4735.12s] 你幹嘛不找跟我講
[4735.12s -> 4737.46s] 我就送他六包固一堂
[4737.46s -> 4739.24s] 我叫他你拿回去吃
[4740.12s -> 4741.74s] 當時我叫他說
[4741.74s -> 4743.24s] 一天就吃完他
[4743.82s -> 4744.68s] 不要隔久
[4744.68s -> 4746.06s] 他就立即立即吃
[4746.06s -> 4747.38s] 吃了眼睛有淚水
[4748.06s -> 4750.26s] 他有來跟我拿固一堂
[4750.26s -> 4751.96s] 不過他不相信
[4751.96s -> 4753.10s] 臨之
[4753.10s -> 4756.84s] 他老公也是沒常在吃臨之
[4756.84s -> 4758.32s] 就是他老婆不相信
[4758.32s -> 4759.78s] 後來氣池
[4759.78s -> 4762.44s] 他老公又跟我講常味的問題
[4762.44s -> 4764.04s] 因為吃太多西藥
[4764.04s -> 4765.22s] 太那個
[4765.22s -> 4768.72s] 他的反正很不順
[4768.72s -> 4770.02s] 他就跟我講
[4770.02s -> 4771.68s] 我又送他六包固一堂
[4771.68s -> 4774.32s] 後來我就跟他講
[4774.84s -> 4776.32s] 你老婆這個毛病
[4777.20s -> 4778.38s] 你再六包固一堂
[4778.38s -> 4780.68s] 拿回去你跟你老婆講
[4780.68s -> 4782.74s] 給我跟鄧先生
[4782.74s -> 4784.40s] 進到你家
[4784.40s -> 4787.26s] 你老婆絕對會健康
[4787.26s -> 4789.74s] 他就回去跟他老婆講
[4789.74s -> 4791.26s] 後來禮拜天
[4792.16s -> 4793.76s] 這個基督圖的
[4793.76s -> 4797.34s] 拿一下是管於罵的
[4797.34s -> 4798.70s] 進入了毒的
[4798.70s -> 4799.78s] 做禮拜
[4799.78s -> 4801.20s] 那不用寶貝
[4801.20s -> 4802.14s] 我問他
[4802.14s -> 4803.30s] 你怎麼問
[4803.30s -> 4804.74s] 那個又不用寶貝
[4804.74s -> 4805.26s] 你要怎麼問
[4805.84s -> 4807.26s] 他說在寶告的時候
[4807.86s -> 4809.68s] 這都會拔開
[4809.68s -> 4811.26s] 他會跟他講
[4811.80s -> 4813.60s] 吃臨之吃臨之
[4813.60s -> 4814.82s] 我又那麼嫌
[4818.40s -> 4819.60s] 第二天
[4819.60s -> 4821.26s] 他就叫我
[4822.04s -> 4822.92s] 叫他老公說
[4822.92s -> 4824.46s] 你可以叫秋節來
[4824.46s -> 4826.88s] 我就要等先生一起進去
[4826.88s -> 4828.60s] 那時候還是先拔
[4828.60s -> 4830.32s] 因為我一致上
[4830.32s -> 4833.08s] 我家裡還有幾盒先拔
[4833.08s -> 4834.42s] 我就拿去
[4834.42s -> 4835.98s] 如山巨花粉
[4835.98s -> 4837.66s] 還有先拔這樣子跑
[4838.26s -> 4838.94s] 給他
[4838.94s -> 4840.94s] 因為他拿掉吃要吃到
[4840.94s -> 4842.40s] 有餵金了
[4842.40s -> 4843.56s] 因為吃一點
[4843.56s -> 4844.74s] 這邊就會卡住
[4844.74s -> 4845.70s] 吞不下
